t_s,D_compressed_um,D_extended_um,eps_axial_pct,sigma_on
3.882221,196.0470,201.9765,1.976504,0
3.891598,196.0507,201.9747,1.974651,0
3.900975,196.0544,201.9728,1.972800,0
3.910353,196.0581,201.9710,1.970951,0
3.919730,196.0618,201.9691,1.969104,0
3.929107,196.0655,201.9673,1.967258,0
3.938485,196.0692,201.9654,1.965414,0
3.947862,196.0729,201.9636,1.963572,0
3.957239,196.0765,201.9617,1.961732,0
3.966617,196.0802,201.9599,1.959893,0
3.975994,196.0839,201.9581,1.958056,0
3.985371,196.0876,201.9562,1.956221,0
3.994749,196.0912,201.9544,1.954387,0
4.004126,196.0949,201.9526,1.952555,0
4.013503,196.0985,201.9507,1.950725,0
4.022881,196.1022,201.9489,1.948897,0
4.032258,196.1059,201.9471,1.947070,0
4.041635,196.1095,201.9452,1.945245,0
4.051013,196.1132,201.9434,1.943422,0
4.060390,196.1168,201.9416,1.941600,0
4.069767,196.1204,201.9398,1.939780,0
4.079145,196.1241,201.9380,1.937962,0
4.088522,196.1277,201.9361,1.936146,0
4.097899,196.1313,201.9343,1.934331,0
4.107277,196.1350,201.9325,1.932518,0
4.116654,196.1386,201.9307,1.930707,0
4.126032,196.1422,201.9289,1.928897,0
4.135409,196.1458,201.9271,1.927089,0
4.144786,196.1494,201.9253,1.925283,0
4.154164,196.1530,201.9235,1.923478,0
4.163541,196.1566,201.9217,1.921675,0
4.172918,196.1603,201.9199,1.919874,0
4.182296,196.1639,201.9181,1.918075,0
4.191673,196.1674,201.9163,1.916277,0
4.201050,196.1710,201.9145,1.914481,0
4.210428,196.1746,201.9127,1.912686,0
4.219805,196.1782,201.9109,1.910894,0
4.229182,196.1818,201.9091,1.909103,0
4.238560,196.1854,201.9073,1.907313,0
4.247937,196.1889,201.9055,1.905525,0
4.257314,196.1925,201.9037,1.903739,0
4.266692,196.1961,201.9020,1.901955,0
4.276069,196.1997,201.9002,1.900172,0
4.285446,196.2032,201.8984,1.898391,0
4.294824,196.2068,201.8966,1.896612,0
4.304201,196.2103,201.8948,1.894834,0
4.313578,196.2139,201.8931,1.893058,0
4.322956,196.2174,201.8913,1.891284,0
4.332333,196.2210,201.8895,1.889511,0
4.341710,196.2245,201.8877,1.887740,0
4.351088,196.2281,201.8860,1.885971,0
4.360465,196.2316,201.8842,1.884203,0
4.369842,196.2351,201.8824,1.882437,0
4.379220,196.2387,201.8807,1.880673,0
4.388597,196.2422,201.8789,1.878910,0
4.397974,196.2457,201.8771,1.877149,0
4.407352,196.2492,201.8754,1.875389,0
4.416729,196.2527,201.8736,1.873632,0
4.426107,196.2562,201.8719,1.871875,0
