t_s,eps_single_pct,eps_mod_pct,sigma_on
2.850570,6.428522,7.457097,1
2.856571,6.478260,7.494670,1
2.862573,6.526818,7.531877,1
2.868574,6.574224,7.568738,1
2.874575,6.620506,7.605272,1
2.880576,6.665690,7.641496,1
2.886577,6.709802,7.677429,1
2.892579,6.752868,7.713085,1
2.898580,6.794913,7.748480,1
2.904581,6.835960,7.783628,1
2.910582,6.876034,7.818542,1
2.916583,6.915157,7.853235,1
2.922585,6.953352,7.887718,1
2.928586,6.990642,7.922003,1
2.934587,7.027047,7.956100,1
2.940588,7.062588,7.990019,1
2.946589,7.097286,8.023770,1
2.952591,7.131162,8.057360,1
2.958592,7.164234,8.090799,1
2.964593,7.196521,8.124093,1
2.970594,7.228043,8.157251,1
2.976595,7.258817,8.190279,1
2.982597,7.288861,8.223184,1
2.988598,7.318192,8.255971,1
2.994599,7.346828,8.288647,1
3.000600,7.354343,8.297402,0
3.006601,7.179906,8.098330,0
3.012603,7.009606,7.910683,0
3.018604,6.843345,7.733795,0
3.024605,6.681028,7.567041,0
3.030606,6.522561,7.409828,0
3.036607,6.367852,7.261603,0
3.042609,6.216814,7.121842,0
3.048610,6.069357,6.990051,0
3.054611,5.925398,6.865767,0
3.060612,5.784854,6.748552,0
3.066613,5.647643,6.637995,0
3.072615,5.513687,6.533708,0
3.078616,5.382908,6.435326,0
3.084617,5.255231,6.342506,0
3.090618,5.130582,6.254922,0
3.096619,5.008890,6.172271,0
3.102621,4.890084,6.094265,0
3.108622,4.774096,6.020634,0
3.114623,4.660859,5.951123,0
3.120624,4.550309,5.885492,0
3.126625,4.442380,5.823515,0
3.132627,4.337011,5.764979,0
3.138628,4.234142,5.709685,0
3.144629,4.133712,5.657443,0
3.150630,4.035665,5.608076,0
3.156631,3.939943,5.561416,0
3.162633,3.846492,5.517307,0
3.168634,3.755257,5.475598,0
3.174635,3.666186,5.436151,0
3.180636,3.579228,5.398834,0
3.186637,3.494332,5.363523,0
3.192639,3.411450,5.330101,0
3.198640,3.330534,5.298459,0
3.204641,3.251537,5.268493,0
3.210642,3.174414,5.240104,0
3.216643,3.099120,5.213203,0
3.222645,3.025612,5.187701,0
3.228646,2.953848,5.163517,0
3.234647,2.883786,5.140576,0
3.240648,2.815385,5.118804,0
3.246649,2.748607,5.098134,0
3.252651,2.683413,5.078501,0
3.258652,2.619765,5.059845,0
3.264653,2.557627,5.042110,0
3.270654,2.496963,5.025241,0
3.276655,2.437737,5.009189,0
3.282657,2.379917,4.993907,0
3.288658,2.323467,4.979348,0
3.294659,2.268357,4.965471,0
3.300660,2.214554,4.952238,0
3.306661,2.162027,4.939609,0
3.312663,2.110746,4.927550,0
3.318664,2.060681,4.916029,0
3.324665,2.011804,4.905013,0
3.330666,1.964086,4.894474,0
3.336667,1.917500,4.884383,0
3.342669,1.872019,4.874716,0
3.348670,1.827616,4.865446,0
3.354671,1.784267,4.856552,0
3.360672,1.741946,4.848011,0
3.366673,1.700629,4.839803,0
3.372675,1.660292,4.831908,0
3.378676,1.620911,4.824309,0
3.384677,1.582465,4.816989,0
3.390678,1.544931,4.809930,0
3.396679,1.508286,4.803119,0
3.402681,1.472511,4.796540,0
3.408682,1.437585,4.790181,0
3.414683,1.403487,4.784028,0
3.420684,1.370198,4.778070,0
3.426685,1.337698,4.772295,0
3.432687,1.305969,4.766693,0
3.438688,1.274993,4.761254,0
3.444689,1.244751,4.755969,0
3.450690,1.215227,4.750828,0
3.456691,1.186403,4.745824,0
3.462693,1.158263,4.740948,0
3.468694,1.130790,4.736193,0
3.474695,1.103969,4.731552,0
3.480696,1.077784,4.727019,0
3.486697,1.052220,4.722587,0
3.492699,1.027262,4.718251,0
3.498700,1.002897,4.714005,0
3.504701,0.979109,4.709844,0
3.510702,0.955886,4.705763,0
3.516703,0.933213,4.701758,0
3.522705,0.911078,4.697824,0
3.528706,0.889468,4.693957,0
3.534707,0.868371,4.690154,0
3.540708,0.847774,4.686410,0
3.546709,0.827666,4.682723,0
3.552711,0.808034,4.679089,0
3.558712,0.788869,4.675505,0
3.564713,0.770158,4.671968,0
3.570714,0.751890,4.668477,0
3.576715,0.734056,4.665027,0
3.582717,0.716645,4.661617,0
3.588718,0.699647,4.658245,0
3.594719,0.683052,4.654909,0
3.600720,0.666851,4.651606,0
3.606721,0.651034,4.648335,0
3.612723,0.635592,4.645094,0
3.618724,0.620516,4.641881,0
3.624725,0.605798,4.638694,0
3.630726,0.591429,4.635533,0
3.636727,0.577401,4.632396,0
3.642729,0.563706,4.629282,0
3.648730,0.550335,4.626189,0
3.654731,0.537282,4.623116,0
3.660732,0.524538,4.620063,0
3.666733,0.512097,4.617027,0
3.672735,0.499950,4.614009,0
3.678736,0.488092,4.611007,0
3.684737,0.476515,4.608020,0
3.690738,0.465212,4.605048,0
3.696739,0.454178,4.602090,0
3.702741,0.443405,4.599145,0
3.708742,0.432888,4.596213,0
3.714743,0.422621,4.593292,0
3.720744,0.412597,4.590383,0
3.726745,0.402810,4.587484,0
3.732747,0.393256,4.584596,0
3.738748,0.383928,4.581717,0
3.744749,0.374822,4.578847,0
3.750750,0.365932,4.575987,0
3.756751,0.357252,4.573134,0
3.762753,0.348778,4.570290,0
3.768754,0.340506,4.567453,0
3.774755,0.332429,4.564623,0
3.780756,0.324544,4.561800,0
3.786757,0.316847,4.558984,0
3.792759,0.309331,4.556174,0
3.798760,0.301994,4.553370,0
3.804761,0.294831,4.550572,0
3.810762,0.287838,4.547780,0
3.816763,0.281011,4.544992,0
3.822765,0.274346,4.542210,0
3.828766,0.267838,4.539433,0
3.834767,0.261486,4.536660,0
3.840768,0.255283,4.533892,0
3.846769,0.249228,4.531129,0
3.852771,0.243317,4.528369,0
3.858772,0.237546,4.525614,0
3.864773,0.231911,4.522862,0
3.870774,0.226411,4.520115,0
3.876775,0.221040,4.517371,0
3.882777,0.215798,4.514630,0
3.888778,0.210679,4.511893,0
3.894779,0.205682,4.509159,0
3.900780,0.200803,4.506429,0
3.906781,0.196041,4.503701,0
3.912783,0.191391,4.500977,0
3.918784,0.186851,4.498255,0
3.924785,0.182419,4.495536,0
3.930786,0.178092,4.492821,0
3.936787,0.173868,4.490107,0
3.942789,0.169744,4.487397,0
3.948790,0.165718,4.484689,0
3.954791,0.161787,4.481984,0
3.960792,0.157950,4.479281,0
3.966793,0.154204,4.476580,0
3.972795,0.150546,4.473882,0
3.978796,0.146975,4.471187,0
3.984797,0.143489,4.468493,0
3.990798,0.140086,4.465802,0
3.996799,0.136763,4.463113,0
